,Total,10th & Monroe St NE,11th & H St NE,12th & Irving St NE,12th & Newton St NE,13th & D St NE,13th & H St NE,15th & East Capitol St NE,15th & F St NE,18th St & Rhode Island Ave NE,1st & M St NE,3rd & H St NE,4th & East Capitol St NE,4th St & Rhode Island Ave NE,6th & H St NE,8th & East Capitol St NE,8th & F St NE,Anacostia Ave & Benning Rd NE / River Terrace ,Benning Rd & East Capitol St NE / Benning Rd Metro,Bladensburg Rd & Benning Rd NE,D St & Maryland Ave NE,Eckington Pl & Q St NE,Gallaudet / 8th St & Florida Ave NE,Hamlin & 7th St NE,John McCormack Dr & Michigan Ave NE,Lincoln Park / 13th & East Capitol St NE ,M St & Delaware Ave NE,Neal St & Trinidad Ave NE,Rhode Island Ave & V St NE
Subscriber,14125,367,1161,248,157,821,1391,388,390,92,1590,1169,1030,323,1515,590,750,306,90,481,900,577,790,55,183,1014,1299,276,156
Casual,3451,24,87,13,34,80,156,62,32,19,230,127,230,40,120,62,66,39,13,84,107,66,124,14,29,162,131,38,21
